各列含意：
1.Samples（样本数）：表示采样器在程序执行期间捕获到该函数的样本数。
2.Percentage（百分比）：显示该函数占所有样本的百分比。它表示该函数在程序执行期间消耗的时间和资源的相对比例。
3.Cumulative Percentage（累积百分比）：表示当前函数及其上层调用函数的总体百分比。它表示当前函数及其上层调用函数在程序执行期间消耗的时间或资源的累积比例。
4.Self（自身开销）：表示当前函数自身消耗的时间或资源。它通常是除去当前函数调用的子函数开销后，当前函数剩余的开销。
5.Cumulative Self（累积自身开销）：表示当前函数及其上层调用函数的总体自身开销。它表示当前函数及其上层调用函数在程序执行期间剩余的自身开销的累积值。
6.Function Name（函数名称）：被分析的函数的名称。

Total: 6541 samples
     596   9.1%   9.1%      596   9.1% send
       3   0.0%  95.6%        3   0.0% std::_Sp_counted_base::_Sp_counted_base
       3   0.0%  95.6%        3   0.0% std::__cxx11::basic_string::_M_local_data (inline)
       3   0.0%  95.7%        3   0.0% std::__cxx11::basic_string::c_str
       3   0.0%  95.7%       24   0.4% std::__detail::_Hashtable_base::_M_key_equals
       3   0.0%  95.7%        4   0.1% std::__detail::_Node_iterator_base::_M_incr
       3   0.0%  95.8%        3   0.0% std::__detail::operator!=@587e4
       3   0.0%  95.8%       21   0.3% std::__shared_ptr::operator=
       3   0.0%  95.9%        9   0.1% std::__uniq_ptr_impl::_M_deleter
       3   0.0%  95.9%        9   0.1% std::deque::begin
       3   0.0%  96.0%        7   0.1% std::deque::empty
       3   0.0%  96.0%       10   0.2% std::deque::pop_front
       3   0.0%  96.1%       15   0.2% std::unique_ptr::~unique_ptr
       3   0.0%  96.1%       20   0.3% std::unordered_map::end
       3   0.0%  96.2%        9   0.1% ws::EpollEvent_Result::operator[]@b57c
       3   0.0%  96.2%        9   0.1% ws::FileProxy::FileProxy
       3   0.0%  96.3%      123   1.9% ws::FileProxy::FileSize
       3   0.0%  96.3%       15   0.2% ws::FileProxy::~FileProxy
       3   0.0%  96.3%       18   0.3% ws::HttpParser::clear
       3   0.0%  96.4%       63   1.0% ws::HttpRequest::Get_Value
       3   0.0%  96.4%        3   0.0% ws::HttpRequest::Set_VMajor
       3   0.0%  96.5%       63   1.0% ws::Manger::Exist &
       3   0.0%  96.5%        3   0.0% ws::Nocopy::Nocopy
       3   0.0%  96.6%        7   0.1% ws::ParseHeaderHash::operator
       3   0.0%  96.6%        4   0.1% ws::ParsedHeader::ParsedHeader@57b76
       3   0.0%  96.7%        3   0.0% ws::Socket::fd &
       3   0.0%  96.7%        3   0.0% ws::StatusCode_to_String
       3   0.0%  96.8%        3   0.0% ws::UserBuffer::Clean
       3   0.0%  96.8%       12   0.2% ws::UserBuffer::Read
       3   0.0%  96.9%      851  13.0% ws::WriteLoop::DoAll
       3   0.0%  96.9%       91   1.4% ws::channel_helper::Distribution
       2   0.0%  96.9%        2   0.0% 0x00007ffd4da42a4c
       2   0.0%  97.0%        2   0.0% __h_errno@@GLIBC_PRIVATE
       2   0.0%  97.0%        2   0.0% _init
       2   0.0%  97.0%        2   0.0% barrier
       2   0.0%  97.0%        2   0.0% operator new
       2   0.0%  97.1%        2   0.0% std::_Deque_iterator::operator*
       2   0.0%  97.1%      114   1.7% std::_Function_base::_Base_manager::_M_destroy
       2   0.0%  97.1%        2   0.0% std::_Function_base::_M_empty
       2   0.0%  97.2%       10   0.2% std::_Hashtable::_M_bucket_index
       2   0.0%  97.2%       48   0.7% std::_Hashtable::_Scoped_node::_Scoped_node
       2   0.0%  97.2%       52   0.8% std::_Hashtable::clear
       2   0.0%  97.3%        2   0.0% std::_Head_base::_Head_base
       2   0.0%  97.3%        6   0.1% std::_Sp_counted_ptr_inplace::_M_destroy
       2   0.0%  97.3%       95   1.5% std::_Sp_counted_ptr_inplace::_M_dispose
       2   0.0%  97.4%        2   0.0% std::_Sp_ebo_helper::_Sp_ebo_helper
       2   0.0%  97.4%        6   0.1% std::__allocate_guarded
       2   0.0%  97.4%        5   0.1% std::__cxx11::basic_string::basic_string
       2   0.0%  97.4%        3   0.0% std::__detail::_Hash_code_base::_M_hash
       2   0.0%  97.5%        2   0.0% std::__detail::_Hash_code_base::_M_store_code
       2   0.0%  97.5%       20   0.3% std::__detail::_Hashtable_alloc::_M_deallocate_node_ptr
       2   0.0%  97.5%        5   0.1% std::__detail::_Hashtable_base::_M_eq
       2   0.0%  97.6%        5   0.1% std::__detail::_Node_const_iterator::operator*
       2   0.0%  97.6%        5   0.1% std::__detail::_Node_iterator::_Node_iterator
       2   0.0%  97.6%        2   0.0% std::__detail::_Prime_rehash_policy::_M_state
       2   0.0%  97.7%       22   0.3% std::__detail::_Rehash_base::reserve
       2   0.0%  97.7%        2   0.0% std::__detail::operator==
       2   0.0%  97.7%       37   0.6% std::__find_if
       2   0.0%  97.8%        2   0.0% std::__new_allocator::allocate
       2   0.0%  97.8%        2   0.0% std::__new_allocator::deallocate
       2   0.0%  97.8%        2   0.0% std::__to_address
       2   0.0%  97.8%        7   0.1% std::__uniq_ptr_impl::release
       2   0.0%  97.9%       32   0.5% std::deque::emplace_back
       2   0.0%  97.9%      165   2.5% std::make_shared
       2   0.0%  97.9%        2   0.0% std::operator==@61bde
       2   0.0%  98.0%       17   0.3% std::pair::pair
       2   0.0%  98.0%        8   0.1% std::queue::empty
       2   0.0%  98.0%        6   0.1% std::queue::front
